"grade","id","commonName","scientificName","inMaster"
"Collegiate","False_London-rocket","Tall Hedge Mustard","Sisymbrium loeselii","YES"
"Collegiate","Field_Horsetail","Field Horsetail","Equisetum arvense","YES"
"Collegiate","Scouringrush","Scouring-rush","Equisetum hyemale","YES"
"Collegiate","commonPokeweed","Common Pokeweed","Phytolacca americana","YES"
"Collegiate","Wild_Carrot","Wild Carrot","Daucus carota","YES"
"Collegiate","Corn_speedwell","Corn Speedwell","Veronica arvensis","YES"
"Collegiate","Common_Mallow","Common Mallow","Malva neglecta","YES"
"Collegiate","Venice_mallow","Venice Mallow","Hibiscus trionum","YES"
"Collegiate","Prickly_sida","Prickly Sida","Sida spinosa","YES"
"Collegiate","common_Cocklebur","Common Cocklebur","Xanthium strumarium","YES"
"Collegiate","Spotted_spurge","Spotted Spurge","Euphorbia maculata","YES"
"Collegiate","Toothed_spurge","Toothed Spurge","Euphorbia dentata","YES"
"Collegiate","annual-ryegrass","Annual Ryegrass","Lolium multiflorum","YES"
"Collegiate","barnyardgrass","Barnyardgrass","Echinochloa crus-galli","YES"
"Collegiate","canada-thistle","Canada Thistle","Cirsium arvense","YES"
"Collegiate","caraway","Caraway","Carum carvi","YES"
"Collegiate","common-ragweed","Common Ragweed","Ambrosia artemisiifolia","YES"
"Collegiate","giant-foxtail","Giant Foxtail","Setaria faberi","YES"
"Collegiate","giant-ragweed","Giant Ragweed","Ambrosia trifida","YES"
"Collegiate","golden-alexanders","Golden Alexanders","Zizia aurea","YES"
"Collegiate","green-foxtail","Green Foxtail","Setaria viridis","YES"
"Collegiate","johnsongrass","Johnsongrass","Sorghum halepense","YES"
"Collegiate","kochia","Kochia","Bassia scoparia","YES"
"Collegiate","lambsquarters","Lambsquarters","Chenopodium album","YES"
"Collegiate","large-crabgrass","Large Crabgrass","Digitaria sanguinalis","YES"
"Collegiate","pennsylvania-smartweed","Pennsylvania Smartweed","Persicaria pensylvanica","YES"
"Collegiate","poison-hemlock","Poison Hemlock","Conium maculatum","YES"
"Collegiate","velvetleaf","Velvetleaf","Abutilon theophrasti","YES"
"Collegiate","volunteer-sunflower","Common Sunflower","Helianthus annuus","YES"
"Collegiate","wild-oat","Wild Oat","Avena fatua","YES"
"Collegiate","wild-parsnip","Wild Parsnip","Pastinaca sativa","YES"
"Collegiate","yellow-foxtail","Yellow Foxtail","Setaria pumila","YES"
"Collegiate","yellow-nutsedge","Yellow Nutsedge","Cyperus esculentus","YES"
"Collegiate","White_campion","White Campion","Silene latifolia","YES"
"Collegiate","Marijuana","Hemp","Cannabis sativa","YES"
"Collegiate","Common_copperleaf","Common Copperleaf","Acalypha rhomboidea","YES"
"Collegiate","Ivyleaf_morningglory","Ivyleaf Morningglory","Ipomoea hederacea","YES"
