"grade","id","commonName","scientificName"
"9-12","Common_Burdock","Common Burdock","Arctium minus"
"9-12","CommonChickweed","Common Chickweed","Stellaria media"
"9-12","common_Cocklebur","Common Cocklebur","Xanthium strumarium"
"9-12","Common_Mallow","Common Mallow","Malva neglecta"
"9-12","common_Milkweed","Common Milkweed","Asclepias syriaca"
"9-12","Common_mullein","Common Mullein","Verbascum thapsus"
"9-12","commonPokeweed","Common Pokeweed","Phytolacca americana"
"9-12","common-ragweed","Common Ragweed","Ambrosia artemisiifolia"
"9-12","Common_teasel","Common Teasel","Dipsacus fullonum"
"9-12","Curly_dock","Curly Dock","Rumex crispus"
"9-12","Dandelion","Dandelion","Taraxacum officinale"
"9-12","Eastern_black_nightshade","Eastern Black Nightshade","Solanum emulans"
"9-12","Field_bindweed","Field Bindweed","Convolvulus arvensis"
"9-12","Field_Horsetail","Field Horsetail","Equisetum arvense"
"9-12","Garlic_mustard","Garlic Mustard","Alliaria petiolata"
"9-12","giant-foxtail","Giant Foxtail","Setaria faberi"
"9-12","giant-ragweed","Giant Ragweed","Ambrosia trifida"
"9-12","Goosegrass","Goosegrass","Eleusine indica"
"9-12","green-foxtail","Green Foxtail","Setaria viridis"
"9-12","Ground_ivy","Ground Ivy","Glechoma hederacea"
"9-12","Hemp_dogbane","Hemp Dogbane","Apocynum cannabinum"
"9-12","Henbit_deadnettle","Henbit","Lamium amplexicaule"
"9-12","Honey-vine_climbing_milkweed","Honeyvine Milkweed","Cynanchum laeve"
"9-12","Horsenettle","Horsenettle","Solanum carolinense"
"9-12","Horseweed","Horseweed","Erigeron canadensis"
"9-12","Jimsonweed","Jimsonweed","Datura stramonium"
"9-12","kochia","Kochia","Bassia scoparia"
"9-12","lambsquarters","Lambsquarters","Chenopodium album"
"9-12","large-crabgrass","Large Crabgrass","Digitaria sanguinalis"
"9-12","Marijuana","Hemp","Cannabis sativa"
"9-12","Musk_thistle","Musk Thistle","Carduus nutans"
"9-12","palmer-amaranth","Palmer Amaranth","Amaranthus palmeri"
"9-12","pennsylvania-smartweed","Pennsylvania Smartweed","Persicaria pensylvanica"
"9-12","Prickly_lettuce","Prickly Lettuce","Lactuca serriola"
"9-12","Quackgrass","Quackgrass","Elytrigia repens"
"9-12","Redroot_pigweed","Redroot Pigweed","Amaranthus retroflexus"
"9-12","Shepherds_Purse","Shepherd's Purse","Capsella bursa-pastoris"
"9-12","Spotted_spurge","Spotted Spurge","Euphorbia maculata"
"9-12","Star_of_Bethlehem","Star of Bethlehem","Ornithogalum umbellatum"
"9-12","Tall_morningglory","Common Morningglory","Ipomoea purpurea"
"9-12","velvetleaf","Velvetleaf","Abutilon theophrasti"
"9-12","Venice_mallow","Venice Mallow","Hibiscus trionum"
"9-12","volunteer-sunflower","Common Sunflower","Helianthus annuus"
"9-12","waterhemp","Waterhemp","Amaranthus tuberculatus"
"9-12","Wild_Carrot","Wild Carrot","Daucus carota"
"9-12","Wild_mustard","Wild Mustard","Rhamphospermum arvense"
"9-12","wild-parsnip","Wild Parsnip","Pastinaca sativa"
"9-12","yellow-foxtail","Yellow Foxtail","Setaria pumila"
"9-12","yellow-nutsedge","Yellow Nutsedge","Cyperus esculentus"
"9-12","yellow_Rocket","Yellow Rocket","Barbarea vulgaris"
"9-12","golden-alexanders","Golden Alexanders","Zizia aurea"
"9-12","Witchgrass","Witchgrass","Panicum capillare"
"9-12","Ivyleaf_morningglory","Ivyleaf Morningglory","Ipomoea hederacea"
"Collegiate","Smooth_Witchgrass","Fall Panicum","Panicum dichotomiflorum"
"Collegiate","Nimblewill","Nimblewill","Muhlenbergia schreberi"
"Collegiate","Foxtail_barley","Foxtail Barley","Hordeum jubatum"
"Collegiate","Quackgrass","Quackgrass","Elytrigia repens"
"Collegiate","Downy_brome","Downy Brome","Bromus tectorum"
"Collegiate","Wild_buckwheat","Wild Buckwheat","Fallopia convolvulus"
"Collegiate","Ladysthumb","Lady's Thumb","Persicaria maculosa"
"Collegiate","Water_smartweed","Water Smartweed","Persicaria amphibia"
"Collegiate","Curly_dock","Curly Dock","Rumex crispus"
"Collegiate","Witchgrass","Witchgrass","Panicum capillare"
"Collegiate","Horsenettle","Horsenettle","Solanum carolinense"
"Collegiate","Buffalobur","Buffalobur","Solanum rostratum"
"Collegiate","Smooth_Groundcherry","Smooth Groundcherry","Physalis longifolia"
"Collegiate","Tall_morningglory","Common Morningglory","Ipomoea purpurea"
"Collegiate","Field_bindweed","Field Bindweed","Convolvulus arvensis"
"Collegiate","Hedge_bindweed","Hedge Bindweed","Calystegia sepium"
"Collegiate","Garlic_mustard","Garlic Mustard","Alliaria petiolata"
"Collegiate","Dandelion","Dandelion","Taraxacum officinale"
"Collegiate","Horseweed","Horseweed","Erigeron canadensis"
"Collegiate","Prickly_lettuce","Prickly Lettuce","Lactuca serriola"
"Collegiate","Jimsonweed","Jimsonweed","Datura stramonium"
"Collegiate","Eastern_black_nightshade","Eastern Black Nightshade","Solanum emulans"
"Collegiate","waterhemp","Waterhemp","Amaranthus tuberculatus"
"Collegiate","palmer-amaranth","Palmer Amaranth","Amaranthus palmeri"
"Collegiate","Redroot_pigweed","Redroot Pigweed","Amaranthus retroflexus"
"Collegiate","yellow_Rocket","Yellow Rocket","Barbarea vulgaris"
"Collegiate","Wild_mustard","Wild Mustard","Rhamphospermum arvense"
"Collegiate","Shepherds_Purse","Shepherd's Purse","Capsella bursa-pastoris"
"Collegiate","Field_Pennycress","Field Pennycress","Thlaspi arvense"
"Collegiate","Woolly_cupgrass","Woolly Cupgrass","Eriochloa villosa"
"Collegiate","Shattercane_Sorghums","Shattercane/Sorghums","Sorghum bicolor"
"Collegiate","Goosegrass","Goosegrass","Eleusine indica"
"Collegiate","Longspine_sandbur","Longspine Sandbur","Cenchrus longispinus"
"Collegiate","Asian_copperleaf","Asian Copperleaf","Acalypha australis"
"Collegiate","Asiatic_dayflower","Asiatic Dayflower","Commelina communis"
"Collegiate","Burcucumber","Burcucumber","Sicyos angulatus"
"Collegiate","Catchweed_bedstraw","Catchweed Bedstraw","Galium aparine"
"Collegiate","Henbit_deadnettle","Henbit","Lamium amplexicaule"
"Collegiate","Ground_ivy","Ground Ivy","Glechoma hederacea"
"Collegiate","Hemp_dogbane","Hemp Dogbane","Apocynum cannabinum"
"Collegiate","common_Milkweed","Common Milkweed","Asclepias syriaca"
"Collegiate","Honey-vine_climbing_milkweed","Honeyvine Milkweed","Cynanchum laeve"
"Collegiate","CommonChickweed","Common Chickweed","Stellaria media"
"Collegiate","Mouseear_chickweed","Mouseear Chickweed","Cerastium fontanum"
"Collegiate","Common_Burdock","Common Burdock","Arctium minus"
"Collegiate","Musk_thistle","Musk Thistle","Carduus nutans"
"Collegiate","Common_mullein","Common Mullein","Verbascum thapsus"
"Collegiate","Common_teasel","Common Teasel","Dipsacus fullonum"
"Collegiate","Star_of_Bethlehem","Star of Bethlehem","Ornithogalum umbellatum"
"Collegiate","Russian_thistle","Russian Thistle","Salsola tragus"
"Collegiate","Wild_Four-o'clock","Wild Four-o'clock","Mirabilis nyctaginea"
"Collegiate","Pinnate_tansymustard","Pinnate Tansymustard","Descurainia pinnata"
"Collegiate","False_London-rocket","Tall Hedge Mustard","Sisymbrium loeselii"
"Collegiate","Field_Horsetail","Field Horsetail","Equisetum arvense"
"Collegiate","Scouringrush","Scouring-rush","Equisetum hyemale"
"Collegiate","commonPokeweed","Common Pokeweed","Phytolacca americana"
"Collegiate","Wild_Carrot","Wild Carrot","Daucus carota"
"Collegiate","Corn_speedwell","Corn Speedwell","Veronica arvensis"
"Collegiate","Common_Mallow","Common Mallow","Malva neglecta"
"Collegiate","Venice_mallow","Venice Mallow","Hibiscus trionum"
"Collegiate","Prickly_sida","Prickly Sida","Sida spinosa"
"Collegiate","common_Cocklebur","Common Cocklebur","Xanthium strumarium"
"Collegiate","Spotted_spurge","Spotted Spurge","Euphorbia maculata"
"Collegiate","Toothed_spurge","Toothed Spurge","Euphorbia dentata"
"Collegiate","annual-ryegrass","Annual Ryegrass","Lolium multiflorum"
"Collegiate","barnyardgrass","Barnyardgrass","Echinochloa crus-galli"
"Collegiate","canada-thistle","Canada Thistle","Cirsium arvense"
"Collegiate","caraway","Caraway","Carum carvi"
"Collegiate","common-ragweed","Common Ragweed","Ambrosia artemisiifolia"
"Collegiate","giant-foxtail","Giant Foxtail","Setaria faberi"
"Collegiate","giant-ragweed","Giant Ragweed","Ambrosia trifida"
"Collegiate","golden-alexanders","Golden Alexanders","Zizia aurea"
"Collegiate","green-foxtail","Green Foxtail","Setaria viridis"
"Collegiate","johnsongrass","Johnsongrass","Sorghum halepense"
"Collegiate","kochia","Kochia","Bassia scoparia"
"Collegiate","lambsquarters","Lambsquarters","Chenopodium album"
"Collegiate","large-crabgrass","Large Crabgrass","Digitaria sanguinalis"
"Collegiate","pennsylvania-smartweed","Pennsylvania Smartweed","Persicaria pensylvanica"
"Collegiate","poison-hemlock","Poison Hemlock","Conium maculatum"
"Collegiate","velvetleaf","Velvetleaf","Abutilon theophrasti"
"Collegiate","volunteer-sunflower","Common Sunflower","Helianthus annuus"
"Collegiate","wild-oat","Wild Oat","Avena fatua"
"Collegiate","wild-parsnip","Wild Parsnip","Pastinaca sativa"
"Collegiate","yellow-foxtail","Yellow Foxtail","Setaria pumila"
"Collegiate","yellow-nutsedge","Yellow Nutsedge","Cyperus esculentus"
"Collegiate","White_campion","White Campion","Silene latifolia"
"Collegiate","Marijuana","Hemp","Cannabis sativa"
"Collegiate","Common_copperleaf","Common Copperleaf","Acalypha rhomboidea"
"Collegiate","Ivyleaf_morningglory","Ivyleaf Morningglory","Ipomoea hederacea"
