band,label,gameId,component,file,currentPool,expected,extras,status
newk5,K-5,life-stages,LifeStagesSequence,src/components/game/practice-games/k5/LifeStagesSequence.tsx,"elementaryWeeds","elementaryWeeds",,OK
newk5,K-5,weed-travel,WeedTravel,src/components/game/practice-games/k5/WeedTravel.tsx,"elementaryWeeds","elementaryWeeds",,OK
newk5,K-5,invasive-id,InvasiveID,src/components/game/practice-games/k5/InvasiveID.tsx,"elementaryWeeds","elementaryWeeds",,OK
newk5,K-5,safe-vs-toxic,SafeVsToxic,src/components/game/practice-games/k5/SafeVsToxic.tsx,"elementaryWeeds","elementaryWeeds",,OK
newk5,K-5,great-garden-race,GreatGardenRace,src/components/game/practice-games/k5/GreatGardenRace.tsx,"NONE","elementaryWeeds",,NO_POOL
newk5,K-5,weed-hero-squad,WeedHeroSquad,src/components/game/practice-games/k5/WeedHeroSquad.tsx,"NONE","elementaryWeeds",,NO_POOL
newk5,K-5,plant-doctor,PlantDoctor,src/components/game/practice-games/k5/PlantDoctor.tsx,"NONE","elementaryWeeds",,NO_POOL
newk5,K-5,fun-fact-detective,FunFactDetective,src/components/game/practice-games/k5/FunFactDetective.tsx,"HARDCODED","elementaryWeeds",,CHECK_HARDCODED
newk5,K-5,invasive-splat,InvasiveSplat,src/components/game/practice-games/k5/InvasiveSplat.tsx,"NONE","elementaryWeeds",,NO_POOL
newk5,K-5,plant-parts-head,PlantPartsHead,src/components/game/practice-games/k5/PlantPartsHead.tsx,"NONE","elementaryWeeds",,NO_POOL
newk5,K-5,plant-ninja,PlantNinja,src/components/game/practice-games/k5/PlantNinja.tsx,"elementaryWeeds","elementaryWeeds",,OK
newk5,K-5,row-runner,RowRunner,src/components/game/practice-games/k5/RowRunner.tsx,"elementaryWeeds","elementaryWeeds",,OK
newk5,K-5,whack-a-weed,WhackAWeed,src/components/game/practice-games/k5/WhackAWeed.tsx,"elementaryWeeds","elementaryWeeds",,OK
newk5,K-5,crop-care,CropCare,src/components/game/practice-games/k5/CropCare.tsx,"elementaryWeeds","elementaryWeeds",,OK
newk5,K-5,root-rush,RootRush,src/components/game/practice-games/k5/RootRush.tsx,"NONE","elementaryWeeds",,NO_POOL
newk5,K-5,sprout-climb,SproutClimb,src/components/game/practice-games/k5/SproutClimb.tsx,"NONE","elementaryWeeds",,NO_POOL
k5,6-8,field-scout,FieldScoutChallenge,src/components/game/practice-games/middle/FieldScoutChallenge.tsx,"weedsForPool|typePoolGrade","middleSchoolWeeds",,OK
k5,6-8,native-lookalike,NativeLookAlike,src/components/game/practice-games/middle/NativeLookAlike.tsx,"middleSchoolWeeds","middleSchoolWeeds",weedKnowledge,OK
k5,6-8,ms-look-alike,MSLookAlike,src/components/game/practice-games/middle/MSLookAlike.tsx,"middleSchoolWeeds","middleSchoolWeeds",lookAlikeGroups,OK
k5,6-8,ms-weed-control,MSWeedControl,src/components/game/practice-games/middle/WeedControl.tsx,"middleSchoolWeeds","middleSchoolWeeds",,OK
k5,6-8,taxonomy-tower,TaxonomyTower,src/components/game/practice-games/k5/TaxonomyTower.tsx,"middleSchoolWeeds","middleSchoolWeeds",,OK
k5,6-8,life-cycle-match,LifeCycleMatching,src/components/game/practice-games/k5/LifeCycleMatching.tsx,"middleSchoolWeeds","middleSchoolWeeds",,OK
k5,6-8,habitat-mapping,HabitatMapping,src/components/game/practice-games/k5/HabitatMapping.tsx,"middleSchoolWeeds","middleSchoolWeeds",,OK
k5,6-8,sense-detective,SenseDetective,src/components/game/practice-games/k5/SenseDetective.tsx,"middleSchoolWeeds","middleSchoolWeeds",,OK
k5,6-8,name-the-weed,NameTheWeed,src/components/game/practice-games/k5/NameTheWeed.tsx,"middleSchoolWeeds","middleSchoolWeeds",,OK
k5,6-8,seed-journey,SeedJourney,src/components/game/practice-games/k5/SeedJourney.tsx,"NONE","middleSchoolWeeds",,NO_POOL
k5,6-8,squad-defense,SquadDefense,src/components/game/practice-games/k5/SquadDefense.tsx,"HARDCODED","middleSchoolWeeds",,CHECK_HARDCODED
